"address"|"lot_number"|"number_first"|"number_last"|"street_name"|"street_type"|"street_suffix"|"locality_name"|"postcode"|"state_code"
"26 QUANDONG STREET"|"114"|"26"|""|"QUANDONG"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"27 QUANDONG STREET"|"106"|"27"|""|"QUANDONG"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"28 QUANDONG STREET"|"113"|"28"|""|"QUANDONG"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"32 QUANDONG STREET"|"111"|"32"|""|"QUANDONG"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"19 KEATLEY STREET"|"104"|"19"|""|"KEATLEY"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"27 KEATLEY STREET"|"108"|"27"|""|"KEATLEY"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"3 KEATLEY STREET"|"96"|"3"|""|"KEATLEY"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"5 NORDLAND CLOSE"|"36"|"5"|""|"NORDLAND"|"CLOSE"|""|"BOLWARRA HEIGHTS"|"2320"|"NSW"
"7 NORDLAND CLOSE"|"35"|"7"|""|"NORDLAND"|"CLOSE"|""|"BOLWARRA HEIGHTS"|"2320"|"NSW"
"9 NORDLAND CLOSE"|"34"|"9"|""|"NORDLAND"|"CLOSE"|""|"BOLWARRA HEIGHTS"|"2320"|"NSW"
"180 PATERSON ROAD"|"6"|"180"|""|"PATERSON"|"ROAD"|""|"BOLWARRA HEIGHTS"|"2320"|"NSW"
"30A WESTBOURNE ROAD"|"610"|"30A"|""|"WESTBOURNE"|"ROAD"|""|"BOLWARRA"|"2320"|"NSW"
"30 WESTBOURNE ROAD"|"102"|"30"|""|"WESTBOURNE"|"ROAD"|""|"BOLWARRA"|"2320"|"NSW"
"1 ALYCE CLOSE"|"CP"|"1"|""|"ALYCE"|"CLOSE"|""|"BOLWARRA HEIGHTS"|"2320"|"NSW"
"11 ALYCE CLOSE"|"226"|"11"|""|"ALYCE"|"CLOSE"|""|"BOLWARRA HEIGHTS"|"2320"|"NSW"
"13 ALYCE CLOSE"|"227"|"13"|""|"ALYCE"|"CLOSE"|""|"BOLWARRA HEIGHTS"|"2320"|"NSW"
"15 ALYCE CLOSE"|""|"15"|""|"ALYCE"|"CLOSE"|""|"BOLWARRA HEIGHTS"|"2320"|"NSW"
"5 HELSINKI PARADE"|"9"|"5"|""|"HELSINKI"|"PARADE"|""|"BOMADERRY"|"2541"|"NSW"
"6 HELSINKI PARADE"|"10"|"6"|""|"HELSINKI"|"PARADE"|""|"BOMADERRY"|"2541"|"NSW"
"7 HELSINKI PARADE"|"11"|"7"|""|"HELSINKI"|"PARADE"|""|"BOMADERRY"|"2541"|"NSW"
"8 HELSINKI PARADE"|"12"|"8"|""|"HELSINKI"|"PARADE"|""|"BOMADERRY"|"2541"|"NSW"
"5 CYPRESS CLOSE"|"210"|"5"|""|"CYPRESS"|"CLOSE"|""|"ALFORDS POINT"|"2234"|"NSW"
"19 PHILLIPS STREET"|"8"|"19"|""|"PHILLIPS"|"STREET"|""|"ALEXANDRIA"|"2015"|"NSW"
"26 URE STREET"|"74"|"26"|""|"URE"|"STREET"|""|"WYNNUM"|"4178"|"QLD"
"15 CHEROKEE DRIVE"|"22"|"15"|""|"CHEROKEE"|"DRIVE"|""|"WILSONTON"|"4350"|"QLD"
"138 CHESTER ROAD"|"3"|"138"|""|"CHESTER"|"ROAD"|""|"WONDECLA"|"4887"|"QLD"
"150 CHESTER ROAD"|"4"|"150"|""|"CHESTER"|"ROAD"|""|"WONDECLA"|"4887"|"QLD"
"152 CHESTER ROAD"|"5"|"152"|""|"CHESTER"|"ROAD"|""|"WONDECLA"|"4887"|"QLD"
"168 CHESTER ROAD"|"6"|"168"|""|"CHESTER"|"ROAD"|""|"WONDECLA"|"4887"|"QLD"
"1 CHESTER ROAD"|"1"|"1"|""|"CHESTER"|"ROAD"|""|"WONDECLA"|"4887"|"QLD"
"208 CHESTER ROAD"|"5"|"208"|""|"CHESTER"|"ROAD"|""|"WONDECLA"|"4887"|"QLD"
"221 CHESTER ROAD"|"85"|"221"|""|"CHESTER"|"ROAD"|""|"WONDECLA"|"4887"|"QLD"
"26-28 DOUGLAS STREET"|"41"|"26"|"28"|"DOUGLAS"|"STREET"|""|"YARRAMAN"|"4614"|"QLD"
"27 MICHAEL COURT"|""|"27"|""|"MICHAEL"|"COURT"|""|"WOORI YALLOCK"|"3139"|"VIC"
"4 MIDDLETON DRIVE"|""|"4"|""|"MIDDLETON"|"DRIVE"|""|"WOORI YALLOCK"|"3139"|"VIC"
"190 BROADWAY"|""|"190"|""|"BROADWAY"|""|""|"RESERVOIR"|"3073"|"VIC"
"195 BROADWAY"|""|"195"|""|"BROADWAY"|""|""|"RESERVOIR"|"3073"|"VIC"
"12 BROADOAK STREET"|""|"12"|""|"BROADOAK"|"STREET"|""|"NOBLE PARK"|"3174"|"VIC"
"28 BROADOAK STREET"|""|"28"|""|"BROADOAK"|"STREET"|""|"NOBLE PARK"|"3174"|"VIC"
"25 EALING CRESCENT"|""|"25"|""|"EALING"|"CRESCENT"|""|"SPRINGVALE SOUTH"|"3172"|"VIC"
"34 EALING CRESCENT"|""|"34"|""|"EALING"|"CRESCENT"|""|"SPRINGVALE SOUTH"|"3172"|"VIC"
"43 EALING CRESCENT"|""|"43"|""|"EALING"|"CRESCENT"|""|"SPRINGVALE SOUTH"|"3172"|"VIC"
"8 EDEN AVENUE"|""|"8"|""|"EDEN"|"AVENUE"|""|"SPRINGVALE"|"3171"|"VIC"
"5 EDINBURGH ROAD"|""|"5"|""|"EDINBURGH"|"ROAD"|""|"SPRINGVALE"|"3171"|"VIC"
"7 EDITH STREET"|""|"7"|""|"EDITH"|"STREET"|""|"NOBLE PARK"|"3174"|"VIC"
"33 EDITH STREET"|""|"33"|""|"EDITH"|"STREET"|""|"NOBLE PARK"|"3174"|"VIC"
"4 EDMOND STREET"|""|"4"|""|"EDMOND"|"STREET"|""|"SPRINGVALE"|"3171"|"VIC"
"15 EDMOND STREET"|""|"15"|""|"EDMOND"|"STREET"|""|"SPRINGVALE"|"3171"|"VIC"
"48 GLADESVILLE BOULEVARD"|""|"48"|""|"GLADESVILLE"|"BOULEVARD"|""|"PATTERSON LAKES"|"3197"|"VIC"
"24 RALEIGH STREET"|""|"24"|""|"RALEIGH"|"STREET"|""|"THORNBURY"|"3071"|"VIC"
"111 GLADESVILLE BOULEVARD"|""|"111"|""|"GLADESVILLE"|"BOULEVARD"|""|"PATTERSON LAKES"|"3197"|"VIC"
"117 GLADESVILLE BOULEVARD"|""|"117"|""|"GLADESVILLE"|"BOULEVARD"|""|"PATTERSON LAKES"|"3197"|"VIC"
"145 GLADESVILLE BOULEVARD"|""|"145"|""|"GLADESVILLE"|"BOULEVARD"|""|"PATTERSON LAKES"|"3197"|"VIC"
"157 GLADESVILLE BOULEVARD"|""|"157"|""|"GLADESVILLE"|"BOULEVARD"|""|"PATTERSON LAKES"|"3197"|"VIC"
"158 GLADESVILLE BOULEVARD"|""|"158"|""|"GLADESVILLE"|"BOULEVARD"|""|"PATTERSON LAKES"|"3197"|"VIC"
"332 RALEIGH STREET"|""|"332"|""|"RALEIGH"|"STREET"|""|"THORNBURY"|"3071"|"VIC"
"6988 HUON HIGHWAY"|""|"6988"|""|"HUON"|"HIGHWAY"|""|"DOVER"|"7117"|"TAS"
"5117 HUON HIGHWAY"|""|"5117"|""|"HUON"|"HIGHWAY"|""|"GEEVESTON"|"7116"|"TAS"
"6916 HUON HIGHWAY"|""|"6916"|""|"HUON"|"HIGHWAY"|""|"DOVER"|"7117"|"TAS"
"5542 HUON HIGHWAY"|""|"5542"|""|"HUON"|"HIGHWAY"|""|"WATERLOO"|"7109"|"TAS"
"4876 HUON HIGHWAY"|""|"4876"|""|"HUON"|"HIGHWAY"|""|"GEEVESTON"|"7116"|"TAS"
"4436 HUON HIGHWAY"|""|"4436"|""|"HUON"|"HIGHWAY"|""|"PORT HUON"|"7116"|"TAS"
"3893 HUON HIGHWAY"|""|"3893"|""|"HUON"|"HIGHWAY"|""|"CASTLE FORBES BAY"|"7116"|"TAS"
"4248 HUON HIGHWAY"|""|"4248"|""|"HUON"|"HIGHWAY"|""|"PORT HUON"|"7116"|"TAS"
"7060 HUON HIGHWAY"|""|"7060"|""|"HUON"|"HIGHWAY"|""|"DOVER"|"7117"|"TAS"
"LOT 1221 GRAND BOULEVARD"|"1221"|""|""|"GRAND"|"BOULEVARD"|""|"SEAFORD"|"5169"|"SA"
"49A MILNER ROAD"|""|"49A"|""|"MILNER"|"ROAD"|""|"RICHMOND"|"5033"|"SA"
"54 DOUGLAS DRIVE"|""|"54"|""|"DOUGLAS"|"DRIVE"|""|"MAWSON LAKES"|"5095"|"SA"
"50 DOUGLAS DRIVE"|""|"50"|""|"DOUGLAS"|"DRIVE"|""|"MAWSON LAKES"|"5095"|"SA"
"6 ANNETTE ROAD"|""|"6"|""|"ANNETTE"|"ROAD"|""|"HILLBANK"|"5112"|"SA"
"28 MATURIN AVENUE"|""|"28"|""|"MATURIN"|"AVENUE"|""|"CHRISTIES BEACH"|"5165"|"SA"
"22 WESTMINSTER AVENUE"|""|"22"|""|"WESTMINSTER"|"AVENUE"|""|"FULHAM GARDENS"|"5024"|"SA"
"6 THELMA AVENUE"|""|"6"|""|"THELMA"|"AVENUE"|""|"FULHAM GARDENS"|"5024"|"SA"
"27 COTTON STREET"|""|"27"|""|"COTTON"|"STREET"|""|"FAIRVIEW PARK"|"5126"|"SA"
"8 YOUNG STREET"|""|"8"|""|"YOUNG"|"STREET"|""|"EXETER"|"5019"|"SA"
"4 AYERS AVENUE"|""|"4"|""|"AYERS"|"AVENUE"|""|"DAW PARK"|"5041"|"SA"
"33 NORTH TERRACE"|""|"33"|""|"NORTH"|"TERRACE"|""|"COWELL"|"5602"|"SA"
"3 LINCOLN HIGHWAY"|""|"3"|""|"LINCOLN"|"HIGHWAY"|""|"COWELL"|"5602"|"SA"
"11 FIFTH STREET"|""|"11"|""|"FIFTH"|"STREET"|""|"COWELL"|"5602"|"SA"
"28 GUM STREET"|"1"|"28"|""|"GUM"|"STREET"|""|"WYNNUM"|"4178"|"QLD"
"73 RAILWAY TERRACE SOUTH"|""|"73"|""|"RAILWAY"|"TERRACE"|"SOUTH"|"LAMEROO"|"5302"|"SA"
"LOT 17 RAILWAY TERRACE"|"17"|""|""|"RAILWAY"|"TERRACE"|""|"BALAKLAVA"|"5461"|"SA"
"31 NINTH STREET"|""|"31"|""|"NINTH"|"STREET"|""|"RENMARK"|"5341"|"SA"
"40-41 KOOKABURRA LANE"|""|"40"|"41"|"KOOKABURRA"|"LANE"|""|"MURBKO"|"5320"|"SA"
"13 BROOKFIELD AVENUE"|""|"13"|""|"BROOKFIELD"|"AVENUE"|""|"BURTON"|"5110"|"SA"
"3 OXFORD STREET"|""|"3"|""|"OXFORD"|"STREET"|""|"MURRAY BRIDGE"|"5253"|"SA"
"26 MANOOKA ROAD"|""|"26"|""|"MANOOKA"|"ROAD"|""|"MORPHETT VALE"|"5162"|"SA"
"1 YETTIE ROAD"|""|"1"|""|"YETTIE"|"ROAD"|""|"WILLIAMSTOWN"|"5351"|"SA"
"LOT 200 QUINTAL AVENUE"|"200"|""|""|"QUINTAL"|"AVENUE"|""|"MODBURY"|"5092"|"SA"
"LOT 102 STURT HIGHWAY"|"102"|""|""|"STURT"|"HIGHWAY"|""|"WAIKERIE"|"5330"|"SA"
"4 FLACK COURT"|""|"4"|""|"FLACK"|"COURT"|""|"GOLDEN GROVE"|"5125"|"SA"
"21 TRELAWNEY STREET"|""|"21"|""|"TRELAWNEY"|"STREET"|""|"RISDON PARK"|"5540"|"SA"
"LOT 876 RADFORD ROAD"|"876"|""|""|"RADFORD"|"ROAD"|""|"SEPPELTSFIELD"|"5355"|"SA"
"37 BELLEREEVE AVENUE"|"36"|"37"|""|"BELLEREEVE"|"AVENUE"|""|"MOUNT RIVERVIEW"|"2774"|"NSW"
"19 MAYBROOK AVENUE"|"1"|"19"|""|"MAYBROOK"|"AVENUE"|""|"CROMER"|"2099"|"NSW"
"24 MAYBROOK AVENUE"|"44"|"24"|""|"MAYBROOK"|"AVENUE"|""|"CROMER"|"2099"|"NSW"
"26 MAYBROOK AVENUE"|"3"|"26"|""|"MAYBROOK"|"AVENUE"|""|"CROMER"|"2099"|"NSW"
"28 MAYBROOK AVENUE"|"2"|"28"|""|"MAYBROOK"|"AVENUE"|""|"CROMER"|"2099"|"NSW"
  "196 WILLANDRA ROAD"|"9"|"196"|""|"WILLANDRA"|"ROAD"|""|"CROMER"|"2099"|"NSW"
"7 WOLBAH PLACE"|"48"|"7"|""|"WOLBAH"|"PLACE"|""|"CROMER"|"2099"|"NSW"
"9 WOLBAH PLACE"|"50"|"9"|""|"WOLBAH"|"PLACE"|""|"CROMER"|"2099"|"NSW"
"10 WOODWARD STREET"|"168"|"10"|""|"WOODWARD"|"STREET"|""|"CROMER"|"2099"|"NSW"
"12 WOODWARD STREET"|"169"|"12"|""|"WOODWARD"|"STREET"|""|"CROMER"|"2099"|"NSW"
"14 WOODWARD STREET"|"170"|"14"|""|"WOODWARD"|"STREET"|""|"CROMER"|"2099"|"NSW"
"94 DAVIS GULLY ROAD"|""|"94"|""|"DAVIS GULLY"|"ROAD"|""|"FOUR MILE CREEK"|"7215"|"TAS"
"15 ROBINSON STREET"|"7"|"15"|""|"ROBINSON"|"STREET"|""|"CANOWINDRA"|"2804"|"NSW"
"17 ROBINSON STREET"|"5"|"17"|""|"ROBINSON"|"STREET"|""|"CANOWINDRA"|"2804"|"NSW"
"8 ROBINSON STREET"|"1"|"8"|""|"ROBINSON"|"STREET"|""|"CANOWINDRA"|"2804"|"NSW"
"10 RODD STREET"|"56"|"10"|""|"RODD"|"STREET"|""|"CANOWINDRA"|"2804"|"NSW"
"104 RODD STREET"|"10"|"104"|""|"RODD"|"STREET"|""|"CANOWINDRA"|"2804"|"NSW"
"106 RODD STREET"|"9"|"106"|""|"RODD"|"STREET"|""|"CANOWINDRA"|"2804"|"NSW"
"11 RODD STREET"|"4"|"11"|""|"RODD"|"STREET"|""|"CANOWINDRA"|"2804"|"NSW"
"2 HOWARD STREET"|"7"|"2"|""|"HOWARD"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"20 HOWARD STREET"|"58"|"20"|""|"HOWARD"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"21 HOWARD STREET"|"42"|"21"|""|"HOWARD"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"22 HOWARD STREET"|"59"|"22"|""|"HOWARD"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"14 CLISDELL AVENUE"|"26"|"14"|""|"CLISDELL"|"AVENUE"|""|"CANTERBURY"|"2193"|"NSW"
"15 CLISDELL AVENUE"|"8"|"15"|""|"CLISDELL"|"AVENUE"|""|"CANTERBURY"|"2193"|"NSW"
"16 CLISDELL AVENUE"|"27"|"16"|""|"CLISDELL"|"AVENUE"|""|"CANTERBURY"|"2193"|"NSW"
"17 CLISDELL AVENUE"|"9"|"17"|""|"CLISDELL"|"AVENUE"|""|"CANTERBURY"|"2193"|"NSW"
"18 CLISDELL AVENUE"|"28"|"18"|""|"CLISDELL"|"AVENUE"|""|"CANTERBURY"|"2193"|"NSW"
"19 CLISDELL AVENUE"|"7"|"19"|""|"CLISDELL"|"AVENUE"|""|"CANTERBURY"|"2193"|"NSW"
"2 CLISDELL AVENUE"|"20"|"2"|""|"CLISDELL"|"AVENUE"|""|"CANTERBURY"|"2193"|"NSW"
"20 CLISDELL AVENUE"|"29"|"20"|""|"CLISDELL"|"AVENUE"|""|"CANTERBURY"|"2193"|"NSW"
"18 JOHN STREET"|"1"|"18"|""|"JOHN"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"2 JOHN STREET"|"2"|"2"|""|"JOHN"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"20 JOHN STREET"|"2"|"20"|""|"JOHN"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"22 JOHN STREET"|"3"|"22"|""|"JOHN"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"24 JOHN STREET"|"1"|"24"|""|"JOHN"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"4 JOHN STREET"|"14"|"4"|""|"JOHN"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"6 JOHN STREET"|"13"|"6"|""|"JOHN"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"8 JOHN STREET"|"12"|"8"|""|"JOHN"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"81 KING STREET"|"1"|"81"|""|"KING"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"83 KING STREET"|"2"|"83"|""|"KING"|"STREET"|""|"CANTERBURY"|"2193"|"NSW"
"645 DAVIS ROAD"|""|"645"|""|"DAVIS"|"ROAD"|""|"MOUNT COTTRELL"|"3024"|"VIC"
"39 SYMONS STREET"|""|"39"|""|"SYMONS"|"STREET"|""|"HEALESVILLE"|"3777"|"VIC"
"2 THORNBILL CLOSE"|""|"2"|""|"THORNBILL"|"CLOSE"|""|"HEALESVILLE"|"3777"|"VIC"
"4 THORNBILL CLOSE"|""|"4"|""|"THORNBILL"|"CLOSE"|""|"HEALESVILLE"|"3777"|"VIC"
"6 THORNBILL CLOSE"|""|"6"|""|"THORNBILL"|"CLOSE"|""|"HEALESVILLE"|"3777"|"VIC"
"8 THORNBILL CLOSE"|""|"8"|""|"THORNBILL"|"CLOSE"|""|"HEALESVILLE"|"3777"|"VIC"
"32 MELALEUCA CRESCENT"|""|"32"|""|"MELALEUCA"|"CRESCENT"|""|"BANDIANA"|"3691"|"VIC"
"15 WILLOWMAVIN ROAD"|""|"15"|""|"WILLOWMAVIN"|"ROAD"|""|"KILMORE"|"3764"|"VIC"
"530 OGRADYS ROAD"|""|"530"|""|"OGRADYS"|"ROAD"|""|"KILMORE"|"3764"|"VIC"
"2 ROWE STREET"|""|"2"|""|"ROWE"|"STREET"|""|"LAKES ENTRANCE"|"3909"|"VIC"
"12 ROWE STREET"|""|"12"|""|"ROWE"|"STREET"|""|"LAKES ENTRANCE"|"3909"|"VIC"
"38 STIRLING DRIVE"|""|"38"|""|"STIRLING"|"DRIVE"|""|"LAKES ENTRANCE"|"3909"|"VIC"
"40 STIRLING DRIVE"|""|"40"|""|"STIRLING"|"DRIVE"|""|"LAKES ENTRANCE"|"3909"|"VIC"
"42 STIRLING DRIVE"|""|"42"|""|"STIRLING"|"DRIVE"|""|"LAKES ENTRANCE"|"3909"|"VIC"
"44 STIRLING DRIVE"|""|"44"|""|"STIRLING"|"DRIVE"|""|"LAKES ENTRANCE"|"3909"|"VIC"
"46 STIRLING DRIVE"|""|"46"|""|"STIRLING"|"DRIVE"|""|"LAKES ENTRANCE"|"3909"|"VIC"
"48 STIRLING DRIVE"|""|"48"|""|"STIRLING"|"DRIVE"|""|"LAKES ENTRANCE"|"3909"|"VIC"
"293 CRANBOURNE-FRANKSTON ROAD"|""|"293"|""|"CRANBOURNE-FRANKSTON"|"ROAD"|""|"LANGWARRIN"|"3910"|"VIC"
"16 WOOD STREET"|""|"16"|""|"WOOD"|"STREET"|""|"BAIRNSDALE"|"3875"|"VIC"
"105A WEEROONA ROAD"|""|"105A"|""|"WEEROONA"|"ROAD"|""|"LANGWARRIN SOUTH"|"3911"|"VIC"
"105C WEEROONA ROAD"|""|"105C"|""|"WEEROONA"|"ROAD"|""|"LANGWARRIN SOUTH"|"3911"|"VIC"
"105B WEEROONA ROAD"|""|"105B"|""|"WEEROONA"|"ROAD"|""|"LANGWARRIN SOUTH"|"3911"|"VIC"
"424 LEVITT ROAD"|"8"|"424"|""|"LEVITT"|"ROAD"|""|"UPPER KEDRON"|"4055"|"QLD"
"147 LOCHINVAR ROAD"|"13"|"147"|""|"LOCHINVAR"|"ROAD"|""|"UPPER KEDRON"|"4055"|"QLD"
"9 AZANIAN STREET"|"78"|"9"|""|"AZANIAN"|"STREET"|""|"UPPER MOUNT GRAVATT"|"4122"|"QLD"
"3 BAFFIN STREET"|"61"|"3"|""|"BAFFIN"|"STREET"|""|"UPPER MOUNT GRAVATT"|"4122"|"QLD"
"90 LAMBERT ROAD"|""|"90"|""|"LAMBERT"|"ROAD"|""|"ROYSTON PARK"|"5070"|"SA"
"31 POMMERN WAY"|""|"31"|""|"POMMERN"|"WAY"|""|"WALLAROO"|"5556"|"SA"
"53 STUART ROAD"|""|"53"|""|"STUART"|"ROAD"|""|"SOUTH PLYMPTON"|"5038"|"SA"
"11 HOMES STREET"|""|"11"|""|"HOMES"|"STREET"|""|"WHYALLA STUART"|"5608"|"SA"
"13 FINDON ROAD"|""|"13"|""|"FINDON"|"ROAD"|""|"WOODVILLE SOUTH"|"5011"|"SA"
"21 BROOKS CIRCUIT"|""|"21"|""|"BROOKS"|"CIRCUIT"|""|"WOODCROFT"|"5162"|"SA"
"15 ABERFELDY AVENUE"|""|"15"|""|"ABERFELDY"|"AVENUE"|""|"WOODVILLE"|"5011"|"SA"
"95 ONKAPARINGA VALLEY ROAD"|""|"95"|""|"ONKAPARINGA VALLEY"|"ROAD"|""|"WOODSIDE"|"5244"|"SA"
"10 ARMAGH CRESCENT"|""|"10"|""|"ARMAGH"|"CRESCENT"|""|"SALISBURY DOWNS"|"5108"|"SA"
"9 DAPHNE STREET"|""|"9"|""|"DAPHNE"|"STREET"|""|"PROSPECT"|"5082"|"SA"
"LOT 5 HENNESSY TERRACE"|"5"|""|""|"HENNESSY"|"TERRACE"|""|"PORT GIBBON"|"5602"|"SA"
"35 FIFTH AVENUE"|""|"35"|""|"FIFTH"|"AVENUE"|""|"ST PETERS"|"5069"|"SA"
"5 GWYN STREET"|""|"5"|""|"GWYN"|"STREET"|""|"RISDON PARK"|"5540"|"SA"
"4 FRANCIS STREET"|""|"4"|""|"FRANCIS"|"STREET"|""|"ST AGNES"|"5097"|"SA"
"16 BALMORAL ROAD"|""|"16"|""|"BALMORAL"|"ROAD"|""|"SALISBURY EAST"|"5109"|"SA"
"28 SILICATE AVENUE"|""|"28"|""|"SILICATE"|"AVENUE"|""|"TAPEROO"|"5017"|"SA"
"300 RAILWAY TERRACE"|""|"300"|""|"RAILWAY"|"TERRACE"|""|"TAPEROO"|"5017"|"SA"
"30 NORAMA STREET"|""|"30"|""|"NORAMA"|"STREET"|""|"TAPEROO"|"5017"|"SA"
"12 NORAMA STREET"|""|"12"|""|"NORAMA"|"STREET"|""|"TAPEROO"|"5017"|"SA"
"31 ETHEL STREET"|""|"31"|""|"ETHEL"|"STREET"|""|"STIRLING"|"5152"|"SA"
"25 REDBANKS ROAD"|""|"25"|""|"REDBANKS"|"ROAD"|""|"WILLASTON"|"5118"|"SA"
"17 REDBANKS ROAD"|""|"17"|""|"REDBANKS"|"ROAD"|""|"WILLASTON"|"5118"|"SA"
"40 SALISBURY AVENUE"|""|"40"|""|"SALISBURY"|"AVENUE"|""|"VALLEY VIEW"|"5093"|"SA"
"14 SALISBURY STREET"|""|"14"|""|"SALISBURY"|"STREET"|""|"UNLEY"|"5061"|"SA"
"11 QUEEN STREET"|""|"11"|""|"QUEEN"|"STREET"|""|"UNLEY"|"5061"|"SA"
"54 PALMERSTON ROAD"|""|"54"|""|"PALMERSTON"|"ROAD"|""|"UNLEY"|"5061"|"SA"
"36 CHARLES TERRACE"|""|"36"|""|"CHARLES"|"TERRACE"|""|"WALLAROO"|"5556"|"SA"
"30 CHARLES TERRACE"|""|"30"|""|"CHARLES"|"TERRACE"|""|"WALLAROO"|"5556"|"SA"
"8 BINGO STREET"|""|"8"|""|"BINGO"|"STREET"|""|"WALLAROO"|"5556"|"SA"
"1 BIRCH AVENUE"|""|"1"|""|"BIRCH"|"AVENUE"|""|"DANDENONG NORTH"|"3175"|"VIC"
"9 BIRDWOOD AVENUE"|""|"9"|""|"BIRDWOOD"|"AVENUE"|""|"DANDENONG"|"3175"|"VIC"
"11 BIRDWOOD AVENUE"|""|"11"|""|"BIRDWOOD"|"AVENUE"|""|"DANDENONG"|"3175"|"VIC"
